definiendum,,tenses,sanskrit,english1,english2,english-others,definition-tibetan,definition-english,divisions-tibetan,divisions-english,synonyms-tibetan,synonyms-english,comments,example-tibetan1,example-tibetan2,example-tibetan3,example-tibetan4,example-tibetan5,example-tibetan6,example-english1,example-english2,example-english3,example-english4,example-english5,example-english6
zad pa dang bral ba ,ཟད་པ་དང་བྲལ་བ་,,{C}kṣaya-apagata (=akṣaya-apagato),free from extinction,,{C}extinction left behind,,,,,,,,,,,,,,,,,,,
zad pa med pa ,ཟད་པ་མེད་པ་,,{C}akṣaya; {C}akṣayatva,non-extinction; inexhaustible; not exhausted; not used up; not consumed,,{C}inextinguishable; unfailing; inextinguishability; absence of extinction,,,,,,,,,,,,,,,,,,,
zad pa shes pa ,ཟད་པ་ཤེས་པ་,,{MSA}kṣaya-jñāna,knowledge of extinction  {T},,,,,,,,,,,,,,,,,,,,,
zad par 'gyur ,ཟད་པར་འགྱུར་,,{C}kṣīyate,become extinct; extinguish; use up; become exhausted; exhaust; consume,,{C}wanes away,,,,,,,,,,,,,,,,,,,
zad par 'gyur ba ,ཟད་པར་འགྱུར་བ་,,{C}kṣīyate; {C}kṣapayati (=kṣayayati = kṣapita = upahata); kṣayāya {MSA}saṃvartate (e.g.: paratantra-kṣayāya saṃvartate); {MSA}kṣayitva; {MSA}kṣayin,become extinct; extinguish; use up; become exhausted; exhaust; consume,,{C}wanes away; spend; wasted away by; annul,,,,,,,,,,,,,,,,,,,
zad par ston pa ,ཟད་པར་སྟོན་པ་,bstan  ston  bstand  stond ,{MSA}kṛtsna-deśana,teach exhaustively  {T},,,,,,,,,,,,,,,,,,,,,
zad par bya ba ,ཟད་པར་བྱ་བ་,,{C}kṣaya,object of extinction; use up; exhaust; consume; subsume; extinguish; exhaust,,,,,,,,,,,,,,,,,,,,,
zad pas 'jigs pa med pa ,ཟད་པས་འཇིགས་པ་མེད་པ་,,{MSA}kṣaya-nirbhayatā,unafraid of extinction,,,,,,,,,,,,,,,,,,,,,
zad mi shes ,ཟད་མི་ཤེས་,,{MSA}akṣaya; {C}kṣīyate,non-extinction; not exhausted; not used up,,,,,,,,,,,,,,,,,,,,,
zad mi shes pa ,ཟད་མི་ཤེས་པ་,,"{MSA,C}akṣaya",non-extinction; not exhausted; not used up,,{C}inextinguishable; unfailing,,,,,,,,,,,,,,,,,,,
zad mi shes pa dam pa ,ཟད་མི་ཤེས་པ་དམ་པ་,,{MV}akṣayatva-paramatā,ultimate non-extinction,,,,,,,,,,,,,,,,,,,,,
zad med ,ཟད་མེད་,,{MSA}avayaya,non-extinction; non-exhaustion; not used up,,,,,,,,,,,,,,,,,,,,,
zad shes ,ཟད་ཤེས་,,{C}kṣīyate,extinguish; use up; extinction; exhaust; cognize extinction,,{C}get/become extinct; get exhausted/extinguished; wane away,,,,,,,,,,,,,,,,,,,
zad shes pa ,ཟད་ཤེས་པ་,,{C}kṣaya; {C}kṣaya-jñāna,extinguish; use up; extinction; exhaust; cognize extinction; cognition of extinction,,{C}get/become extinct; get exhausted/extinguished; wane away,,,,,,,,,,,,,,,,,,,
zan kham ,ཟན་ཁམ་,,{C}kavaḍa,,,{C}mouthful of water,,,,,,,,,,,,,,,,,,,
zan gong ,ཟན་གོང་,,{C}piṇḍa,,,{C}material object; morsel of food,,,,,,,,,,,,,,,,,,,
zab ,ཟབ་,,"{C,LCh}gambhīra; {C}gambhīratva; {MSA}gahana",deep; profound,,{C}depth,,,,,zab mo ,,,,,,,,,,,,,,
zab cing rgya che thos pa ,ཟབ་ཅིང་རྒྱ་ཆེ་ཐོས་པ་,,{MSA}gambhīryaudārya-saṃśrava,profound and extensive hearing,,,,,,,,,,,,,,,,,,,,,
zab cing rgya che ba ,ཟབ་ཅིང་རྒྱ་ཆེ་བ་,,"{MSA}udāra-gambhīra; {MSA,MV}gambhīrodāra",profound and extensive; {T} the profound and the vast,,,,,,,,,"often refers to profound emptiness and vast methods of compassion Is this right? If so, need to change following entries {T}",,,,,,,,,,,,
zab cing rgya che ba legs par bshad pa'i chos ,ཟབ་ཅིང་རྒྱ་ཆེ་བ་ལེགས་པར་བཤད་པའི་ཆོས་,,{MSA}audārya-gāmbhīrya-sudeśita ... dharma,profound and extensive well explained doctrines,,,,,,,,,,,,,,,,,,,,,
zab cing rgya che ba'i chos ,ཟབ་ཅིང་རྒྱ་ཆེ་བའི་ཆོས་,,{MSA}udāra ... gambhīra ... dharma,profound and extensive doctrines; profound and extensive phenomena,,,,,,,,,,,,,,,,,,,,,
zab cing rgya che ba'i mtshan nyid ,ཟབ་ཅིང་རྒྱ་ཆེ་བའི་མཚན་ཉིད་,,{MSA}audārya-gāmbhīrya-lakṣaṇa,profound and extensive character,,,,,,,,,,,,,,,,,,,,,
zab cing rgya che legs par bshad pa'i chos ,ཟབ་ཅིང་རྒྱ་ཆེ་ལེགས་པར་བཤད་པའི་ཆོས་,,{MSA}audārya-gāmbhīrya-sudeśita ... dharma,profound and extensive well explained doctrines,,,,,,,,,,,,,,,,,,,,,
zab cing rgya cher bshad pa ,ཟབ་ཅིང་རྒྱ་ཆེར་བཤད་པ་,,{MSA}gāmbhīryaudārya-vāda,profound and extensive explanation,,,,,,,,,,,,,,,,,,,,,
zab nyid ,ཟབ་ཉིད་,,{C}gāmbhīrya,profundity; depth,,,,,,,,,,,,,,,,,,,,,
zab don ,ཟབ་དོན་,,gambhīrārtha,the profound meaning,,,,,,,,,,,,,,,,,,,,,
zab pa ,ཟབ་པ་,,"{L,C,MSA}gambhīra; {MSA}gāmbhīrya",deep; profound,,,,,,,,,,,,,,,,,,,,,
zab pa nyid ,ཟབ་པ་ཉིད་,,{C}gambhīratā; {C}gabhīratā,profundity; depth,,,,,,,,,,,,,,,,,,,,,
zab po ,ཟབ་པོ་,,{C}gambhīratā,profound; profundity; deep; depth,,,,,,,,,,,,,,,,,,,,,
zab bo ,ཟབ་བོ་,,{C}gambhīra,profound; deep,,,,,,,,,,,,,,,,,,,,,
zab mo ,ཟབ་མོ་,,"{LCh,L,C,MSA}gambhīra; {C,MSA}gāmbhīrya; {MSA}gabhīra",deep; profound,,{C}depth; profundity,,,,,,,,,,,,,,,,,,,
zab gsal gnyis med ,ཟབ་གསལ་གཉིས་མེད་,,,non-duality of profound and manifest,,,,,,,,,,,,,,,,,,,,,
zab gsal gnyis med kyi rnal 'byor ,ཟབ་གསལ་གཉིས་མེད་ཀྱི་རྣལ་འབྱོར་,,,yoga of the non-duality of the profound and the manifest,,,,,,,,,,,,,,,,,,,,,
zam pa ,ཟམ་པ་,,{C}saṃkrama,bridge    ,,,,,,,,,,,,,,,,,,,,,
zam pa lta bur 'gyur bar bya ba yin ,ཟམ་པ་ལྟ་བུར་འགྱུར་བར་བྱ་བ་ཡིན་,,{C}saṃkrama-bhūta,like a bridge; bridge-like; is like a bridge,,{C}a (true) bridge across the sea of birth and death,,,,,,,,,,,,,,,,,,,
zam par gyur pa ,ཟམ་པར་གྱུར་པ་,,{C}saṃkrama-bhūta,is a bridge; which is a bridge,,{C}a (true) bridge across the sea of birth and death,,,,,,,,,,,,,,,,,,,
za'o ,ཟའོ་,,,food; to eat,,,,,,,,,see: za,,,,,,,,,,,,
zar 'jug go,ཟར་འཇུག་གོ,,{C}yātayati,,,{C}sow (doubts),,,,,,,,,,,,,,,,,,,
zar ma ,ཟར་མ་,,,a type of bean,,,,,,,,,,,,,,,,,,,,,
zas ,ཟས་,,"{C,MV,MSA}āhāra; anna; {MSA}bhojana; {MSA}bhojya; {MSA}aśana",food; sustenance; nourishment     ,,,,,dbye ba/  1 kham gyi zas/ 2 reg pa'i zas/ 3 sems pa'i zas/ 4 rnam shes kyi zas/,Divisions: (1) material food; morsels (kavalikāhāra){LWT 99}; (2) food of touch (sparśāhāra); (3) food of intention (manaḥ-saṃcetanāhāra);   (4) food of consciousness (vijñānāhāra),,,,,,,,,,,,,,,
zas kyi don du ,ཟས་ཀྱི་དོན་དུ་,,{C}anna-hetos,,,{C}for the sake of food,,,,,,,,,,,,,,,,,,,
zas phyis mi len pa ,ཟས་ཕྱིས་མི་ལེན་པ་,,{C}khalu-paścād-bhaktika,,,{C}one who never eats any food after midday,,,,,,,,,,,,,,,,,,,
zas byin pa ,ཟས་བྱིན་པ་,,{MSA}bhojanaṃ dadat (e.g.: pareṣāṃ bhojanaṃ dadat),give food; giving food,,,,,,,,,,,,,,,,,,,,,
zas bzhi ,ཟས་བཞི་,,{MV}catvāra-āhāra,the four foods; the four sustenances,,,,,,,,,see: zas,,,,,,,,,,,,
zas la 'dod byed ,ཟས་ལ་འདོད་བྱེད་,,{C}āhāra-kāma,desire food,,{C}in want of food,,,,,,,,,,,,,,,,,,,
zin ,ཟིན་,,anta; āviṣṭa; upātta; {C}daṣṭa,"verb: to be done with; conjoined with; to be affected by; grasp; hold; supplement; conjoin withadv.: particle indicating past [sometimes untranslatable]: already [e.g.: gong du brjod zin, already explained above]{LG 30.2}",,termination; absence; completion; {C}bitten,,,,,,,,,,,,,,,,,,,
zin pa ,ཟིན་པ་,,{MSA}anta (e.g.: śama-bhāvānta); {MSA}āviṣṭa; {MSA}upātta; grahaṇa,verb: to be done with; conjoined with; to be affected by; grasp; hold; supplement; conjoin withadv.: particle indicating past [sometimes untranslatable]: alreadyadj.: conjoined{D1}; apprehension,,comprise; comprehend; embodied in ,,,,,,,,,,,,,,,,,,,
zin pa'i 'byung ba las gyur pa'i sgra ,ཟིན་པའི་འབྱུང་བ་ལས་གྱུར་པའི་སྒྲ་,'byung  'byung  byung  byung ,upātta-mahābhūta-hetuka-śabda ,sound arisen from elements not conjoined with consciousness,,,,,,,,,,,,,,,,,,,,,
zin pa'i 'byung ba las gyur pa'i sems can du ston pa'i sgra snyan pa ,ཟིན་པའི་འབྱུང་བ་ལས་གྱུར་པའི་སེམས་ཅན་དུ་སྟོན་པའི་སྒྲ་སྙན་པ་,bstan  ston  bstand  stond ,upātta-mahābhūta-hetuka-sattvākhya-yaśa-śabda,pleasant articulate sound caused by elements conjoined with consciousness,,,,,,,,,,,,,,,,,,,,,
zin pa'i 'byung ba las gyur pa'i sems can du mi ston pa'i sgra snyan pa ,ཟིན་པའི་འབྱུང་བ་ལས་གྱུར་པའི་སེམས་ཅན་དུ་མི་སྟོན་པའི་སྒྲ་སྙན་པ་,bstan  ston  bstand  stond ,upātta-mahābhūta-hetuka-asattvākhya-yaśa-śabda,pleasant inarticulate sound caused by elements conjoined with consciousness,,,,,,,,,,,,,,,,,,,,,
zin pa'i 'byung ba las gyur pa'i sems can du ston pa'i sgra mi snyan pa ,ཟིན་པའི་འབྱུང་བ་ལས་གྱུར་པའི་སེམས་ཅན་དུ་སྟོན་པའི་སྒྲ་མི་སྙན་པ་,bstan  ston  bstand  stond ,upātta-mahābhūta-hetuka-sattvākhya-ayaśa-śabda,unpleasant articulate sound caused by elements conjoined with consciousness,,,,,,,,,,,,,,,,,,,,,
zin pa'i 'byung ba las gyur pa'i sems can du mi ston pa'i sgra mi snyan pa ,ཟིན་པའི་འབྱུང་བ་ལས་གྱུར་པའི་སེམས་ཅན་དུ་མི་སྟོན་པའི་སྒྲ་མི་སྙན་པ་,bstan  ston  bstand  stond ,upātta-mahābhūta-hetuka-asattvākhya-ayaśa-śabda,unpleasant inarticulate sound caused by elements conjoined with consciousness,,,,,,,,,,,,,,,,,,,,,
zil gyis non pa ,ཟིལ་གྱིས་ནོན་པ་,,{C}abhibhavitum; {MSA}abhibhūta,surpass; outshine; suppress; surpassed; outshined,,{C}be surpassed; overpower,,,,,,,"SW added Eng. ""suppress""",,,,,,,,,,,,
zil gyis non par gyur pa ,ཟིལ་གྱིས་ནོན་པར་གྱུར་པ་,,{C}avamardita,surpass; outshine; suppress; surpassed; outshined,,{C}crushed,,,,,,,"SW added Eng. ""suppress""",,,,,,,,,,,,
zil gyis non par 'gyur ,ཟིལ་གྱིས་ནོན་པར་འགྱུར་,,{C}abhibhavati,surpass; outshine; suppress,,{C}surpasses,,,,,,,"SW added Eng. ""suppress""",,,,,,,,,,,,
zil gyis gnon ,ཟིལ་གྱིས་གནོན་,,"{L,MSA}abhibhavati; {C}abhibhoti (=abhibhavati); {MSA}abhibhūyate (abhi √bhū)",surpass; outshine; suppress,,{C}resplendent,,,,,,,"SW added Eng. ""suppress"" and ex. 2 {Mi g.yo ba rjes gnang}",,,,,,,,,,,,
zil gyis gnon cing 'gro bar 'gyur ro ,ཟིལ་གྱིས་གནོན་ཅིང་འགྲོ་བར་འགྱུར་རོ་,,{C}abhibhavanto gamiṣyanti,,,{C}they surpass,,,,,,,,,,,,,,,,,,,
zil gyis gnon pa ,ཟིལ་གྱིས་གནོན་པ་,,"{C}abhibhavati; {MSA,MV}abhibhava; {MSA}abhibhavana; {MSA}abhibhūti",surpass; outshine; suppress; surpassed; outshined,,{C}resplendent; surpasses,,,,,,,"SW added Eng. ""suppress"" and ex. {Mi g.yo ba rjes gnang}",,,,,,,,,,,,
zil gyis gnon pa'i skye mched ,ཟིལ་གྱིས་གནོན་པའི་སྐྱེ་མཆེད་,,"{C,MSA}abhibhvāyatana",source of surpassing,,{C}basis of overcoming; station of mastery,,,,,,,,,,,,,,,,,,,
zil gyis mnan ,ཟིལ་གྱིས་མནན་,,{C}abhibhūta (=dhyāmīkṛto),,,{C}surpassed; overpowered; conquered; overcome,,,,,,,,,,,,,,,,,,,
zil gyis mnan cing ,ཟིལ་གྱིས་མནན་ཅིང་,,{C}abhibhūya gacchati,,,{C}surpasses,,,,,,,,,,,,,,,,,,,
zil gyis mnam par bya ba ,ཟིལ་གྱིས་མནམ་པར་བྱ་བ་,,{L}abhibhūta,surpass; outshine,,overcome; overpowered; conquered,,,,,,,,,,,,,,,,,,,
zil gyis mi non pa ,ཟིལ་གྱིས་མི་ནོན་པ་,,{C}anabhibhūta,unsurpassed; not outshined; not surpass; not suppress,,{C}unhindered; insuperable; unconquered; unsurpassable,,,,,,,"SW added Eng. ""not suppress""",,,,,,,,,,,,
zil gnon ,ཟིལ་གནོན་,,{MSA}abhibhava; {MSA}abhibhūti (e.g.: krodhābhibhūti),surpass; outshine,,,,,,,,,,,,,,,,,,,,,
zil mnan ,ཟིལ་མནན་,,{MSA}(abhi √bhū): abhibhūya,surpass; outshine,,,,,,,,,,,,,,,,,,,,,
zil pa ,ཟིལ་པ་,,{C}avaśyāya,,,{C}dew-drops,,,,,,,,,,,,,,,,,,,
zug rngu ,ཟུག་རྔུ་,,{C}śalya ,,,{C}dart; thorn,,,,,,,,,,,,,,,,,,,
zug ring ldan pa ,ཟུག་རིང་ལྡན་པ་,,{C}saśalya,,,{C}thorny; one who has a thorn in his flesh,,,,,,,,,,,,,,,,,,,
zung ,ཟུང་,,,pair; two; side,,,,,,,,,,,,,,,,,,,,,
zung 'jug ,ཟུང་འཇུག་,,{LCh}yuganaddha,union    ,,,,,,,,,"Comment: This is the sixth of the six stages of the completion stage in the Guhyasamāja system of Highest Yoga Tanta: physical isolation (lus dben), verbal isolation (ngag dben), mental isolation (sems dben), illusory body (sgyus lus), clear light ('od gsal), union (zung 'jug).",mi slob pa'i zung 'jug 'grub pa la ,,,,,,in order to achieve the union of a non-learner{TGP 30},,,,,
zung du ,ཟུང་དུ་,,,[side-ly]; separately,,,,,,,,,,,,,,,,,,,,,
zung du 'brel ba ,ཟུང་དུ་འབྲེལ་བ་,,"{L,MSA}yuganaddha",[two-connect]; noun: unification; unionverb: unify; unite,,,,,,,,,,,,,,,,,,,,,
zung 'brel ,ཟུང་འབྲེལ་,,{LCh}yuganaddha,[two-connect]; noun: unification; unionverb: unify; unite,,,,,,,,,,zhi lhag zung 'brel ,,,,,,a union of calm abiding and special insight (śamatha-vipaśyanā-yuganaddha),,,,,
zung 'brel ba ,ཟུང་འབྲེལ་བ་,,{L}yuganaddha,[two-connect]; noun: unification; unionverb: unify; unite,,,,,,,,,,,,,,,,,,,,,
zungs ,ཟུངས་,gzung / 'dzin/ bzung / zungs/,,hold; bear; grasp; apprehend [imperfect stem of 'dzin],,,,,,,,,,gand don ma nor par zungs shig ,,,,,,hold without error the essential meaning ...{LWT 97},,,,,
zur ,ཟུར་,,,corner; part    ,,,,,,,,,,rags pa las zur du phye ba'i rmi lam gyi lus lta bu ,,,,,,it is like a dream body which separates from [zur du phye ba] the coarse body{TGP 56},,,,,
zur snga ma ,ཟུར་སྔ་མ་,,,the first part; the early part{BJ 22.1},,,,,,,,,,,,,,,,,,,,,
zur mchan ,ཟུར་མཆན་,,,separate annotations,,,,,,,,,,,,,,,,,,,,,
zur gnyis ,ཟུར་གཉིས་,,,the second part{BJ 66.6},,,,,,,,,,,,,,,,,,,,,
zur du ,ཟུར་དུ་,,,different from{BJ},,,,,,,,,,,,,,,,,,,,,
zur du phye ba ,ཟུར་དུ་ཕྱེ་བ་,,,to separate,,,,,,,,,,,,,,,,,,,,,
zur tsam yang ma gsungs ,ཟུར་ཙམ་ཡང་མ་གསུངས་,,,not even a phrase is said,,,,,,,,,,,,,,,,,,,,,
zer ,ཟེར་,,,say; ray; beam; shaft of light ,,,,,,,,,,,,,,,,,,,,,
zer pa ,ཟེར་པ་,,,say; ray; beam; shaft of light ,,,,,,,,,,,,,,,,,,,,,
zer yis zil non pa ,ཟེར་ཡིས་ཟིལ་ནོན་པ་,,{C}raśmīgate,,,{C}the impact of the rays,,,,,,,,,,,,,,,,,,,
zo ,ཟོ་,,,eat; food,,,,,,,,,,,,,,,,,,,,,
zo chun rgyud ,ཟོ་ཆུན་རྒྱུད་,,{C}araghaṭṭa,,,{C}machine for raising water from a well,,,,,,,,,,,,,,,,,,,
zong zad slar log lta bur gyur na mi rung ngo ,ཟོང་ཟད་སླར་ལོག་ལྟ་བུར་གྱུར་ན་མི་རུང་ངོ་,,{C}mūlātu chedana karitva(na) punāgameyā,,,{C}having lost his goods he would (nevertheless be able to) again return,,,,,,,,,,,,,,,,,,,
zos ,ཟོས་,,,eat [imperfect stem]; food,,,,,,,,,,,,,,,,,,,,,
zos pa ,ཟོས་པ་,,{C}aśite,"eat [imperfect stem of za, to eat]; food",,{C}when eating,,,,,,,,,,,,,,,,,,,
zla ,ཟླ་,,"{C,MV}candra",moon; month; object,,,,,,,,,,,,,,,,,,,,,
zla gcig zla gnyis su snang ba'i dbang shes ,ཟླ་གཅིག་ཟླ་གཉིས་སུ་སྣང་བའི་དབང་ཤེས་,snang  snang  snang  snang ,,a sense consciousness to which one moon appears as two moons,,,,,,,,,,,,,,,,,,,,,
zla ba ,ཟླ་བ་,,"{LCh,C,MSA}candra; {L}māsa; {C}indu",moon; month; object; monday,,,,,,,,,,,,,,,,,,,,,
zla ba dkyil 'khor ,ཟླ་བ་དཀྱིལ་འཁོར་,,{L}candra-maṇḍala,moon-maṇḍala; moon-disk,,,,,,,,,,,,,,,,,,,,,
zla ba grags pa ,ཟླ་བ་གྲགས་པ་,,candrakīrti,Candrakīrti [p.n.],,,,,,,,,,,,,,,,,,,,,
zla ba nya ba lta bu ,ཟླ་བ་ཉ་བ་ལྟ་བུ་,,{MSA}pūrṇa-candra ... upamatva,"a previous moon, for example; like a previous moon",,,,,,,,,,,,,,,,,,,,,
zla ba phyed ,ཟླ་བ་ཕྱེད་,,{L}pakṣa ardhamāsa,half-moon,,,,,,,,,,,,,,,,,,,,,
zla ba zhabs ,ཟླ་བ་ཞབས་,,,the honorable Candrakīrti,,,,,,,,,,,,,,,,,,,,,
zla ba bzang po ,ཟླ་བ་བཟང་པོ་,,{C}sucandra,,,{C}the beautiful moon,,,,,,,,,,,,,,,,,,,
zla ba'i gzugs brnyan ,ཟླ་བའི་གཟུགས་བརྙན་,,{MSA}candra-bimba,reflection of the moon,,,,,,,,,,,,,,,,,,,,,
zla ba'i 'od kun zil gyis ,ཟླ་བའི་འོད་ཀུན་ཟིལ་གྱིས་,,{C}candra' ābhā,,,{C}lustre of the moon,,,,,,,,,,,,,,,,,,,
zla bo ,ཟླ་བོ་,,,spouse,,,,,,,,,,,,,,,,,,,,,
zlum ,ཟླུམ་,,{C}vṛtta; {C}vṛtta-parimaṇḍala,round; spherical,,{C}(well) rounded; conduct,,,,,,,,,,,,,,,,,,,
zlum po ,ཟླུམ་པོ་,,parimaṇḍala,round; spherical{D1},,,,,,,,,,,,,,,,,,,,,
zlo ,ཟློ་,,,repeat; next,,,,,,,,,,,,,,,,,,,,,
zlog ,ཟློག་,,,opposite; reverse; turn around,,,,,,,,,,,,,,,,,,,,,
zlog pa ,ཟློག་པ་,,{L}nivaraṇa; {MSA}nivṛtti; {MSA}yongs su mya ngan las zlog pa = parinirvāpaṇa,opposite; reverse; turn around,,cover; covered; obscure; impeded; obscured; impediment,,,,,,,,,,,,,,,,,,,
zlog par byed pa ,ཟློག་པར་བྱེད་པ་,,(ni √vṛ): {MSA}nivārayanti; {MSA}nivārayet,opposite; reverse; turn around,,cover; covered; obscure; impeded; obscured; impediment,,,,,,,,,,,,,,,,,,,
zlog phyogs ,ཟློག་ཕྱོགས་,,,opposite class,,,,,,,,,,,,,,,,,,,,,
zlog tshig smra ,ཟློག་ཚིག་སྨྲ་,,{C}prativākyu dadāti,,,{C}answer back,,,,,,,,,,,,,,,,,,,
zlos pa'i bag chags ,ཟློས་པའི་བག་ཆགས་,,,predispositions of verbal repetition,,,,,,,,,Comment: These are predispositions causing generation of conceptual consciousnesses designating various conventions.,,,,,,,,,,,,
gza' ,གཟའ་,,{C}graha,,,{C}seizure; appropriation; grasping; seizing on; planet,,,,,,,,,,,,,,,,,,,
gzi brjid ,གཟི་བརྗིད་,,{C}tejas,,,{C}majesty; beauty; splendor; flaming; piercing flame,,,,,,,,,,,,,,,,,,,
gzi brjid yod pa ,གཟི་བརྗིད་ཡོད་པ་,,{C}tejovatī,,,{C}sharp,,,,,,,,,,,,,,,,,,,
gzig ,གཟིག་,,,leopard,,,,,,,,,,,,,,,,,,,,,
gzigs ,གཟིགས་,,{C}dṛṣṭa; {MSA}(abhy-ud √īkṣ): abhyudīkṣate; {MV}(√paś): paśyanti,see (hon.); perceive; realize; to buy(hon.),,{C}seen; viewed; what one has seen,,,,,,,,kun gzigs ,,,,,,all-seeing{LWT 173},,,,,
gzigs pa ,གཟིགས་པ་,,{L}darśana; {C}avalokayati,see(hon.); perceive; realize; to buy(hon.),,{C}seen; viewed; what one has seen; seeing; vision; behold; surveying,,,,,,,,,,,,,,,,,,,
gzings ,གཟིངས་,,"{C,MSA}kola",,,{C}raft,,,,,,,,,,,,,,,,,,,
gzim khyi ,གཟིམ་ཁྱི་,,,dog(hon.),,,,,,,,,,,,,,,,,,,,,
gzim shag ,གཟིམ་ཤག་,,,home (hon.),,,,,,,,,,,,,,,,,,,,,
gzims chung ,གཟིམས་ཆུང་,,,house; dwelling,,,,,,,,,,,,,,,,,,,,,
gzir ba ,གཟིར་བ་,,,to be tormented,,,,,,,,,,,,,,,,,,,,,
gzugs ,གཟུགས་,,"{LCh,C,MSA,MV}rūpa; {C}vigraha; {MSA}ākṛti; {MSA}bimba",form; body; matter; the atomic; visible form,,{C}color; figure; frame; shape,mtshan nyid/  gzugs su rung ba/,Definiton: suitable as form,dbye ba/  1 nang gi gzugs/ 2 phyi'i gzugs/,Division: (1) internal form; (2) external form,,,,,,,,,,,,,,,
gzugs kyi sku ,གཟུགས་ཀྱི་སྐུ་,,rūpa-kāya ,Form Body,,,,,,,,,"one of the three bodies of a Buddha; the others are: Emanation Body (sprul pa'i sku, nirmāṇa-kāya); and Truth Body (chos sku, dharma-kāya)",,,,,,,,,,,,
gzugs kyi sku yongs su grub pa ,གཟུགས་ཀྱི་སྐུ་ཡོངས་སུ་གྲུབ་པ་,,{C}rūpa-kāya-pariniṣpatti,thorough establishment of a Form Body,,,,,,,,,,,,,,,,,,,,,
gzugs kyi skye mched ,གཟུགས་ཀྱི་སྐྱེ་མཆེད་,,rūpāyatana,form sense-sphere,,,mtshan nyid/  mig shes kyi bzung bya/,Definition: apprehended object of an eye consciousness,dbye ba/  1 dbyibs/ 2 kha dog,Division: (1) shape; (2) color,,,Comment: This is one of the five divisions of external form (phyi'i gzugs): form sense-sphere (gzugs kyi skye mched); (2) sound sense-sphere (sgra'i skye mched); (3) odor sense-sphere (dri'i skye mched); (4) taste sense-sphere (ro'i skye mched); (5) tangible object sense-sphere (reg bya'i skye mched).,,,,,,,,,,,,
gzugs kyi khams ,གཟུགས་ཀྱི་ཁམས་,,rūpadhātu,form-constituent,,,,,,,,,,,,,,,,,,,,,
gzugs kyi ngo bo nyid bshad pa ,གཟུགས་ཀྱི་ངོ་བོ་ཉིད་བཤད་པ་,,{C}rūpa-svabhāva-nirdeśa,explain the entityness of form,,,,,,,,,,,,,,,,,,,,,
gzugs kyi stong pa nyid gang yin pa de ni gzugs ma yin no ,གཟུགས་ཀྱི་སྟོང་པ་ཉིད་གང་ཡིན་པ་དེ་ནི་གཟུགས་མ་ཡིན་ནོ་,,{MSA}yā rūpasya śūnyatā na tad rūpam,"whatever is the emptiness of form, that is not form",,,,,,,,,,,,,,,,,,,,,
gzugs kyi rnam par rig pa ,གཟུགས་ཀྱི་རྣམ་པར་རིག་པ་,,{MSA}rūpa-vijñapti,ideation of form; form-ideation,,,,,,,,,,,,,,,,,,,,,
gzugs kyi snang ba ,གཟུགས་ཀྱི་སྣང་བ་,snang  snang  snang  snang ,{MV}āloko rūpasya,appearance of form,,,,,,,,,,,,,,,,,,,,,
gzugs kyi phung po ,གཟུགས་ཀྱི་ཕུང་པོ་,,rūpaskandha,form aggregate,,,,,,,,,,,,,,,,,,,,,
gzugs kyi lha ,གཟུགས་ཀྱི་ལྷ་,,rūpa-deva ,form deity,,,,,,,,,"Comment: This is the fourth of six stages in deity yoga meditation in the Concentration Concentration Tantra (bsam gtan phyi ma, dhyānottara), an Action Tantra: ultimate deity or emptiness deity or suchness deity (don dam pa'i lha, stong pa nyid kyi lha, de kho na nyid kyi lha); sound deity (sgra'i lha); letter deity (yi ge'i lha); form deity (gzugs kyi lha); seal deity (phyag rgya'i lha); sign deity (mtshan ma'i lha).",,,,,,,,,,,,
gzugs sku ,གཟུགས་སྐུ་,,rūpa-kāya,Form Body,,,,,,,,,"one of the three bodies of a Buddha; the others are: Emanation Body (sprul pa'i sku, nirmāṇa-kāya); and Truth Body (chos sku, dharma-kāya)",,,,,,,,,,,,
gzugs khams ,གཟུགས་ཁམས་,,rūpa-dhātu,form realm,,,,,,,,,"one of the three realms in Buddhist cosmology; the others are: the formless realm (gzugs med khams, arūpya-dhātu) and the desire realm ('dod khams, kāma-dhātu)",,,,,,,,,,,,
gzugs khams kyi lha ,གཟུགས་ཁམས་ཀྱི་ལྷ་,,rūpa-dhātu-deva,god of the Form Realm,,,,,,,,,,,,,,,,,,,,,
gzugs gang ci yang rung ,གཟུགས་གང་ཅི་ཡང་རུང་,,{MV}yat kiñcid rūpam,whatever form; whatever is a form,,,,,,,,,,,,,,,,,,,,,
gzugs gang yin pa de ni ming tsam mo ,གཟུགས་གང་ཡིན་པ་དེ་ནི་མིང་ཙམ་མོ་,,{MSA}nāma-mātram idaṃ yad idaṃ rūpaṃ,whatever is a form is mere name; whatever is a form is merely nominal,,,,,,,,,,,,,,,,,,,,,
gzugs can ,གཟུགས་ཅན་,,{MSA}rūpin,having form; form,,,,,,,,,,,,,,,,,,,,,
gzugs can gyi khams ,གཟུགས་ཅན་གྱི་ཁམས་,,{L}rūpa-dhātu,form realm,,,,,,,,,see: gzugs khams,,,,,,,,,,,,
gzugs can ma yin pa ,གཟུགས་ཅན་མ་ཡིན་པ་,,{MSA}arūpin,not having form; non-form,,,,,,,,,,,,,,,,,,,,,
gzugs nyid ,གཟུགས་ཉིད་,,{L}bimba,reflection; image; picture image,,,,,,,,,,,,,,,,,,,,,
